id,part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
,61,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,62,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,63,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,64,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,65,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,66,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,67,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,68,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,69,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,70,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,71,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,72,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,73,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,74,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,75,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,76,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,77,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,78,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,79,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,80,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,81,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,81,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,82,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,83,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,84,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,85,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,86,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,87,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,88,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,89,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,90,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,91,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,92,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,93,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,94,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,95,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,96,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,97,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,98,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,99,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,100,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,101,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,102,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
